ID,name,eur_value,skill_moves,weak_foot,work_rate_att,work_rate_def,preferred_foot,crossing,finishing,heading_accuracy,short_passing,volleys,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,gk
190871,Neymar,123000000,5,5,High,Medium,Right,75,89,62,81,83,81,84,75,95,94,90,96,88,82,80,61,78,53,77,56,36,90,80,81,92,21,24,33,
158023,L. Messi,105000000,4,4,Medium,Medium,Left,77,95,71,88,85,89,90,87,95,92,87,90,95,95,85,68,73,59,88,48,22,93,90,78,96,13,28,26,
176580,L. Suárez,97000000,4,4,High,Medium,Right,77,94,77,83,88,86,84,64,91,88,77,86,93,60,87,69,89,80,86,78,41,92,84,85,83,30,45,38,
20801,Cristiano Ronaldo,95500000,5,4,High,Low,Right,85,94,88,83,88,81,76,77,93,89,91,89,96,63,94,95,92,80,92,63,29,95,85,85,95,22,31,23,
188545,R. Lewandowski,92000000,3,4,High,Medium,Right,62,91,85,83,87,77,84,65,89,79,83,78,91,80,88,84,79,84,83,80,39,91,78,84,87,25,42,19,
183277,E. Hazard,90500000,4,4,High,Medium,Right,80,83,57,86,79,82,79,81,92,93,87,93,85,91,79,59,79,65,82,54,41,85,86,86,87,25,27,22,
192985,K. De Bruyne,83000000,4,4,High,High,Right,90,83,53,90,82,83,83,84,87,76,75,80,88,75,85,65,87,73,86,68,56,84,90,77,84,30,51,40,
182521,T. Kroos,79000000,3,5,Medium,Medium,Right,85,76,54,90,82,85,84,93,89,60,52,71,86,69,87,32,77,74,90,60,85,79,88,73,85,63,82,69,
211110,P. Dybala,79000000,4,3,High,Medium,Left,80,85,68,83,88,88,84,71,93,88,84,91,84,85,82,75,83,65,88,48,24,84,84,86,84,14,20,20,
167664,G. Higuaín,77000000,3,4,High,Medium,Right,68,91,86,75,88,74,62,59,85,78,80,75,88,69,88,79,72,85,82,50,20,92,70,70,86,12,22,18,
194765,A. Griezmann,75000000,4,3,High,Medium,Left,82,88,80,79,87,84,75,75,86,87,86,90,90,80,81,87,76,61,82,69,35,91,76,71,86,23,22,11,
189509,Thiago,70500000,5,3,Medium,Medium,Right,72,69,58,91,90,85,77,90,92,77,68,90,84,86,75,75,75,59,82,57,78,83,86,75,83,49,64,62,
173731,G. Bale,69500000,4,3,High,Medium,Left,87,87,86,85,76,86,85,80,86,93,95,77,87,65,91,85,76,80,90,65,59,86,79,76,85,51,55,52,
184941,A. Sánchez,67500000,4,3,High,High,Right,80,85,70,81,83,78,78,73,87,88,84,90,87,87,84,85,85,72,82,80,42,86,83,77,86,30,39,35,
153079,S. Agüero,66500000,4,4,High,Medium,Right,70,90,68,79,85,82,72,63,89,90,84,86,89,91,88,80,74,74,83,63,24,91,83,83,90,13,20,12,
195864,P. Pogba,66500000,5,4,High,Medium,Right,78,71,73,86,85,84,82,88,89,72,76,76,84,61,90,85,91,91,82,75,68,83,86,76,85,66,68,66,
190460,C. Eriksen,65000000,4,5,High,Medium,Right,86,76,52,89,74,85,87,86,87,77,74,78,83,82,80,57,90,57,84,44,55,81,90,67,87,38,56,22,
193080,De Gea,64500000,1,3,Medium,Medium,Right,17,13,21,50,13,21,19,51,42,57,58,60,88,43,31,67,40,64,12,38,30,12,68,40,64,13,21,13,90
199556,M. Verratti,64500000,3,4,High,High,Right,72,58,55,90,64,73,64,89,88,69,62,87,87,94,56,64,77,56,58,89,86,71,88,64,91,76,84,79,
167495,M. Neuer,61000000,1,4,Medium,Medium,Right,15,13,25,55,11,14,11,59,48,58,61,52,85,35,25,78,44,83,16,29,30,12,70,47,70,10,10,11,92
188567,P. Aubameyang,61000000,3,4,Medium,Low,Right,77,88,79,77,86,78,74,64,82,95,96,77,87,70,81,77,79,77,79,43,48,89,77,74,84,28,25,36,
176635,M. Özil,60000000,4,2,Medium,Low,Left,82,74,54,89,77,84,79,84,90,75,68,83,87,70,70,52,69,57,76,48,24,83,92,67,78,22,16,19,
192119,T. Courtois,59000000,1,3,Medium,Medium,Left,14,14,13,32,12,19,11,31,23,46,52,61,81,45,36,68,38,70,17,23,15,13,44,27,52,11,18,16,89
202126,H. Kane,59000000,3,4,High,High,Right,70,90,83,75,73,71,66,67,82,70,75,73,87,62,87,70,85,86,84,74,35,89,75,86,84,41,36,38,
192505,R. Lukaku,59000000,3,4,Medium,Medium,Left,68,89,87,71,76,72,66,68,75,76,89,62,85,47,88,71,80,93,75,72,27,87,73,82,84,27,30,30,
177003,L. Modrić,57000000,4,4,High,Medium,Right,78,71,55,92,74,79,77,83,92,75,71,93,88,94,73,67,82,58,82,62,76,79,90,80,84,66,80,73,
200389,J. Oblak,57000000,1,3,Medium,Medium,Right,13,11,15,29,13,13,14,26,16,43,60,67,84,49,22,76,41,78,12,34,19,11,55,11,55,14,12,18,88
197781,Isco,56500000,4,3,High,Medium,Right,72,88,55,86,64,86,74,85,91,74,69,83,79,85,72,64,71,59,87,58,70,83,84,76,86,25,73,51,
198710,J. Rodríguez,56000000,4,3,Medium,Low,Left,88,82,62,84,91,87,86,80,85,77,75,82,84,75,86,54,68,70,91,65,55,80,86,81,87,25,42,30,
189242,Coutinho,56000000,4,4,High,High,Right,77,74,47,85,75,84,82,78,88,88,77,92,81,92,80,59,80,61,86,55,30,83,87,64,85,24,44,40,
215914,N. Kanté,52500000,3,3,Medium,High,Right,67,65,54,84,56,49,49,79,79,82,80,83,87,90,72,79,94,77,66,90,91,71,76,54,84,75,89,85,
155862,Sergio Ramos,52000000,3,3,High,Medium,Right,66,60,91,78,66,73,67,72,84,75,77,79,85,60,79,93,84,81,55,84,88,52,63,68,80,86,89,91,
